Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.993,1.0,1.0
2,0.852,1.0,0.92
3,0.714,0.9855555555555555,0.76
4,0.971,1.0,0.98
5,0.837,0.9933333333333333,0.89
6,0.899,0.9955555555555555,0.96
7,0.828,0.9766666666666667,0.81
8,0.88,0.99,0.9
9,0.914,0.9877777777777778,0.96
10,0.884,0.9933333333333333,0.85
11,0.948,1.0,0.96
12,0.99,1.0,0.97
13,0.994,1.0,0.96
14,0.863,1.0,0.9
15,1.0,1.0,1.0
16,0.442,0.6555555555555556,0.41
17,0.576,0.7266666666666667,0.57
18,0.918,0.9444444444444444,0.95
19,0.101,0.3411111111111111,0.02
20,0.998,1.0,0.99
